locus_tag	ftype	length_bp	gene	EC_number	COG	product
MMFJJJCJ_00001	CDS	972	ppsC_1	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
MMFJJJCJ_00002	CDS	1008				hypothetical protein
MMFJJJCJ_00003	CDS	1266				hypothetical protein
MMFJJJCJ_00004	CDS	1413	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
MMFJJJCJ_00005	CDS	618				hypothetical protein
MMFJJJCJ_00006	CDS	771		1.-.-.-		putative oxidoreductase
MMFJJJCJ_00007	CDS	1458				hypothetical protein
MMFJJJCJ_00008	CDS	786	spo0M		COG4326	Sporulation-control protein spo0M
MMFJJJCJ_00009	CDS	402				hypothetical protein
MMFJJJCJ_00010	CDS	852				hypothetical protein
MMFJJJCJ_00011	CDS	324	gdx_1		COG2076	Guanidinium exporter
MMFJJJCJ_00012	CDS	1836	dmdC	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
MMFJJJCJ_00013	CDS	246				hypothetical protein
MMFJJJCJ_00014	CDS	1410	pdhC_1	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
MMFJJJCJ_00015	CDS	1014	bkdB	1.2.4.4	COG0022	3-methyl-2-oxobutanoate dehydrogenase subunit beta
MMFJJJCJ_00016	CDS	1128	bkdA	1.2.4.4	COG1071	3-methyl-2-oxobutanoate dehydrogenase subunit alpha
MMFJJJCJ_00017	CDS	1626				hypothetical protein
MMFJJJCJ_00018	CDS	243	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
MMFJJJCJ_00019	CDS	441	spoIIAB	2.7.11.1		Anti-sigma F factor
MMFJJJCJ_00020	CDS	681	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
MMFJJJCJ_00021	CDS	3603	purL	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurL
MMFJJJCJ_00022	CDS	213				hypothetical protein
MMFJJJCJ_00023	CDS	411				hypothetical protein
MMFJJJCJ_00024	CDS	957				hypothetical protein
MMFJJJCJ_00025	CDS	1173	pstI_1	3.4.21.111	COG1404	Aqualysin-1
MMFJJJCJ_00026	CDS	1818				hypothetical protein
MMFJJJCJ_00027	CDS	441				hypothetical protein
MMFJJJCJ_00028	CDS	633				hypothetical protein
MMFJJJCJ_00029	CDS	372				hypothetical protein
MMFJJJCJ_00030	CDS	1455	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
MMFJJJCJ_00031	CDS	1029	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
MMFJJJCJ_00032	CDS	387				hypothetical protein
MMFJJJCJ_00033	CDS	738				hypothetical protein
MMFJJJCJ_00034	CDS	666				hypothetical protein
MMFJJJCJ_00035	CDS	207				hypothetical protein
MMFJJJCJ_00036	CDS	1083	vdh	1.4.1.23	COG0334	Valine dehydrogenase
MMFJJJCJ_00037	CDS	936				hypothetical protein
MMFJJJCJ_00038	CDS	204				hypothetical protein
MMFJJJCJ_00039	CDS	711	betI_1			HTH-type transcriptional regulator BetI
